"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
519317,"Stanton, Giancarlo","R","80.986945891",27.05528639959537,9.123526607090204,-2.4953492554965395,0.6007751937984495,0.8255111461498399,26.56968048412961,25.744169337979766,33.6031278632375,1548
665833,"Cruz, Oneil","L","78.654185215",33.188333371498764,8.758917270708045,-7.00826803305805,0.4477876106194689,8.332501429881482,35.326219118960495,26.993717689079027,27.551491043650618,1695
656941,"Schwarber, Kyle","L","77.355462846",29.819476439601072,13.74441677810983,-5.563785368613453,0.656769596199525,10.126857072802167,32.347251915432274,22.220394842630114,26.026774740073783,2526
666176,"Adell, Jo","R","77.311628853",33.28156233845097,6.6413197111824935,-5.070125510115432,0.47196261682242985,0.21501096709747958,25.918602199877892,25.70359123278041,28.395574480445735,1926
592450,"Judge, Aaron","R","76.97121337",39.584525665971725,14.457911721836263,-5.284474881714649,0.5130581297388374,1.977635323705094,30.46969411566932,28.4920587919642,33.536974346443564,2374
670541,"Alvarez, Yordan","L","76.503359919",35.230210869912966,9.353749158366638,-5.7194488993256645,0.42510876320696084,9.987142147823118,36.32256891460304,26.335426766779925,27.737566650513628,1609
677594,"Rodríguez, Julio","R","76.501375899",32.520467175623146,7.519714942068931,-2.6074515995887424,0.4725079815537424,11.819617489402102,33.34824708166711,21.528629592265005,29.733319696241182,2819
660271,"Ohtani, Shohei","L","76.241391624",35.916884882719344,13.119128520957638,-1.869210488591887,0.5219399538106239,-1.9959367886661643,27.23850135648411,29.23443814515028,30.655952293931556,2598
665489,"Guerrero Jr., Vladimir","R","76.100081222",27.962085952382022,2.225738613945313,-2.9307672533583218,0.3327828241123038,5.388892371060197,33.48604721978321,28.097154848723005,29.05457300549996,2422
575929,"Contreras, Willson","R","75.981747698",32.087944569543836,9.728608173127343,-1.9185562409288954,0.4884896125772038,7.857612231711459,27.947707301660877,20.090095069949427,30.454041303846505,1781
666624,"Morel, Christopher","R","75.978646774",27.549518690293706,13.787318147800466,-6.985726524315579,0.7217300677436161,6.2625080023113116,33.59069654555616,27.32818854324484,27.452989133187902,1919
656305,"Chapman, Matt","R","75.798619516",26.170429103179593,6.355109088461262,-3.287412474189167,0.5407166123778503,-1.930331811919353,26.94089336692015,28.871225178839516,30.075247312978682,2149
663586,"Riley, Austin","R","75.748661591",32.765523935700216,10.010143701645918,-3.6573884547532067,0.4648829431438126,5.768342888693776,35.016010239313964,29.247667350620173,28.183408816870067,2093
683002,"Henderson, Gunnar","L","75.74195179",30.41532890793992,8.729125264112433,2.1781009603949752,0.49221645663454405,6.784283736073317,32.66818449163549,25.88390075556218,25.887829246420555,2698
663624,"Mountcastle, Ryan","R","75.365520324",36.9619095536903,5.606398212215261,0.9084534781685563,0.3676092544987147,0.13141712867907285,26.38146890960323,26.25005178092415,30.929761442717307,1945
624413,"Alonso, Pete","R","75.328437398",32.57874784588502,10.590933888920304,-2.070040761380922,0.5758275596612779,5.418267376837341,29.81898318149306,24.400715804655736,28.075183314031726,2598
660821,"Sánchez, Jesús","L","75.314996257",29.605156631871193,7.377315348948002,1.1420081555807131,0.490215264187867,6.156960455188266,32.836330693346916,26.67937023815868,29.14491834835779,2044
673357,"Robert Jr., Luis","R","75.267585532",36.07824566830162,11.16923970237894,-4.088380793468729,0.516506922257721,-1.9237682857010068,29.144964609339457,31.068732895040466,26.992874155616732,1878
682985,"Greene, Riley","L","75.262222446",44.01547568398677,12.98121171435484,1.1705258803345722,0.43119640669661086,4.019521777066135,32.02945900866835,28.009937231602205,23.93872939562473,2449
682829,"De La Cruz, Elly","R","75.159576018",34.77808309107394,8.420201151347895,0.42730507966081444,0.4929522317932656,7.647735317728484,36.1601514233809,28.512416105652427,29.781337699987063,2554
592518,"Machado, Manny","R","75.142566468",25.966315591176897,7.064758250472566,-0.7256246832220697,0.5382022471910114,6.749716757080363,31.083823079023386,24.33410632194301,31.27783510524867,2670
